120.396,0.2
120.904,0.1
121.412,0.1
121.92,0.1
122.428,0.3
122.936,0.1
123.444,0.1
123.952,0.4
124.46,0.1
124.968,0.7
125.476,0.4
125.984,1.2
126.492,4.2
127,11.1
127.508,31.1
128.016,68.6
128.524,116.4
129.032,175.8
129.54,182.8
130.048,156.1
130.556,136.7
131.064,94.8
131.572,59.5
132.08,27.7
132.588,8.1
133.096,1.7
133.604,0.6
134.112,0.2
134.62,0.3
135.128,0.1
135.636,0.3
136.144,0.1
136.652,0
137.16,0.3
137.668,0.2
138.176,0
138.684,0.3
139.192,0
139.7,0.1
140.208,0
