POS,,,
step,mm,VL,VD
720000,182.88,0,0
722000,183.388,0.4,0
724000,183.896,0,0.4
726000,184.404,0,0.2
728000,184.912,0.2,0
730000,185.42,0,0.2
732000,185.928,0,0
734000,186.436,0.4,0
736000,186.944,0.2,0.2
738000,187.452,1,1
740000,187.96,1.4,1.2
742000,188.468,3.6,2
744000,188.976,7.6,8.2
746000,189.484,22.2,27.4
748000,189.992,64,66.4
750000,190.5,173.8,169.2
752000,191.008,326,301.2
754000,191.516,510.4,526.8
756000,192.024,621.8,614.6
758000,192.532,499.6,508.2
760000,193.04,421.2,412.6
